Date,Game,Earnings,Players,Tournaments,Game_numerical,Genre
1998-01-01,Command & Conquer: Red Alert,,8,1,0,Strategy
1998-01-01,QuakeWorld,,8,1,1,First-Person Shooter
1998-05-01,Quake II,,4,1,2,First-Person Shooter
1998-05-01,Total Annihilation,,2,1,3,Strategy
1998-05-01,QuakeWorld,300.0,3,1,1,First-Person Shooter
1998-07-01,Quake II,,4,1,2,First-Person Shooter
1998-11-01,Quake II,,13,2,2,First-Person Shooter
1998-11-01,QuakeWorld,,17,1,1,First-Person Shooter
1998-11-01,StarCraft: Brood War,,8,1,4,Strategy
1998-12-01,Age of Empires,,1,1,5,Strategy
1999-03-01,Quake II,,5,1,2,First-Person Shooter
1999-04-01,StarCraft: Brood War,,2,1,4,Strategy
1999-05-01,StarCraft: Brood War,,8,1,4,Strategy
1999-05-01,Quake II,,8,1,2,First-Person Shooter
1999-08-01,Descent 3,,1,1,6,First-Person Shooter
1999-08-01,StarCraft: Brood War,,9,2,4,Strategy
1999-09-01,StarCraft: Brood War,,15,3,4,Strategy
1999-09-01,Quake III Arena,,6,1,7,First-Person Shooter
1999-10-01,Quake III Arena,,12,1,7,First-Person Shooter
1999-12-01,StarCraft: Brood War,,15,4,4,Strategy
2000-01-01,Age of Empires II,,2,1,8,Strategy
2000-01-01,StarCraft: Brood War,,15,3,4,Strategy
2000-02-01,Quake III Arena,,3,1,7,First-Person Shooter
2000-02-01,Age of Empires II,450.0,5,1,8,Strategy
2000-04-01,Quake III Arena,,43,8,7,First-Person Shooter
2000-04-01,Age of Empires,,4,1,5,Strategy
2000-04-01,Age of Empires II,,1,1,8,Strategy
2000-05-01,StarCraft: Brood War,,3,1,4,Strategy
2000-05-01,Quake III Arena,,5,2,7,First-Person Shooter
2000-05-01,Age of Empires II,225.0,0,2,8,Strategy
2000-06-01,Quake III Arena,,9,2,7,First-Person Shooter
2000-06-01,StarCraft: Brood War,,1,1,4,Strategy
2000-06-01,Age of Empires II,,5,2,8,Strategy
2000-07-01,Quake III Arena,,6,2,7,First-Person Shooter
2000-07-01,Marvel vs. Capcom 2,0.0,3,1,9,Fighting Game
2000-07-01,Street Fighter Alpha 2,0.0,3,1,10,Fighting Game
2000-07-01,Street Fighter Alpha 3,0.0,3,1,11,Fighting Game
2000-07-01,Street Fighter III: 3rd Strike,0.0,3,1,12,Fighting Game
2000-07-01,Super Street Fighter II Turbo,0.0,3,1,13,Fighting Game
2000-08-01,Quake III Arena,,15,2,7,First-Person Shooter
2000-08-01,StarCraft: Brood War,,4,1,4,Strategy
2000-08-01,Age of Empires II,,9,3,8,Strategy
2000-09-01,Quake III Arena,,11,5,7,First-Person Shooter
2000-09-01,Age of Empires II,,11,3,8,Strategy
2000-09-01,StarCraft: Brood War,,1,2,4,Strategy
2000-10-01,Quake III Arena,,5,3,7,First-Person Shooter
2000-10-01,Age of Empires II,,4,1,8,Strategy
2000-10-01,FIFA 2000,,4,1,14,Sports
2000-10-01,StarCraft: Brood War,,4,1,4,Strategy
2000-10-01,Doom II: Hell on Earth,0.0,3,1,15,First-Person Shooter
2000-11-01,StarCraft: Brood War,,16,1,4,Strategy
2000-12-01,Quake III Arena,,79,4,7,First-Person Shooter
2000-12-01,Counter-Strike,,62,2,16,First-Person Shooter
2000-12-01,Age of Empires II,166.0,5,2,8,Strategy
2001-01-01,Quake III Arena,,12,3,7,First-Person Shooter
2001-01-01,StarCraft: Brood War,,7,2,4,Strategy
2001-01-01,Counter-Strike,,35,1,16,First-Person Shooter
2001-01-01,Age of Empires II,,6,2,8,Strategy
2001-02-01,Quake III Arena,,8,1,7,First-Person Shooter
2001-03-01,Age of Empires II,,12,5,8,Strategy
2001-04-01,Counter-Strike,,41,2,16,First-Person Shooter
2001-04-01,Quake III Arena,,8,3,7,First-Person Shooter
2001-04-01,Age of Empires II,200.0,2,1,8,Strategy
2001-05-01,StarCraft: Brood War,,16,2,4,Strategy
2001-05-01,Quake III Arena,,16,2,7,First-Person Shooter
2001-05-01,Counter-Strike,,41,1,16,First-Person Shooter
2001-05-01,Age of Empires II,500.0,1,1,8,Strategy
2001-06-01,Age of Empires II,500.0,4,1,8,Strategy
2001-07-01,QuakeWorld,,8,1,1,First-Person Shooter
2001-07-01,Counter-Strike,,16,2,16,First-Person Shooter
2001-08-01,Quake III Arena,,3,2,7,First-Person Shooter
2001-08-01,Counter-Strike,,41,1,16,First-Person Shooter
2001-08-01,Age of Empires II,500.0,1,1,8,Strategy
2001-08-01,Capcom vs. SNK,0.0,3,1,17,Fighting Game
2001-08-01,Marvel vs. Capcom 2,0.0,3,1,9,Fighting Game
2001-08-01,Street Fighter Alpha 3,0.0,3,1,11,Fighting Game
2001-08-01,Super Street Fighter II Turbo,0.0,3,1,13,Fighting Game
2001-09-01,Counter-Strike,,41,1,16,First-Person Shooter
2001-09-01,StarCraft: Brood War,,16,1,4,Strategy
2001-10-01,Quake III Arena,,15,2,7,First-Person Shooter
2001-10-01,Counter-Strike,,15,2,16,First-Person Shooter
2001-10-01,StarCraft: Brood War,,4,1,4,Strategy
2001-11-01,Age of Empires II,,16,1,8,Strategy
2001-11-01,Counter-Strike,,5,1,16,First-Person Shooter
2001-11-01,Quake III Arena,,8,1,7,First-Person Shooter
2001-12-01,Counter-Strike,,109,2,16,First-Person Shooter
2001-12-01,Age of Empires II,,20,5,8,Strategy
2001-12-01,StarCraft: Brood War,,24,3,4,Strategy
2001-12-01,FIFA 2001,,9,2,18,Sports
2001-12-01,Quake III Arena,,8,2,7,First-Person Shooter
2001-12-01,Unreal Tournament,,9,2,19,First-Person Shooter
2001-12-01,Aliens versus Predator 2,,1,1,20,First-Person Shooter
2002-01-01,Age of Empires II,,1,1,8,Strategy
2002-02-01,Age of Empires II,,1,1,8,Strategy
2002-03-01,Counter-Strike,,17,1,16,First-Person Shooter
2002-03-01,Age of Empires II,,1,1,8,Strategy
2002-04-01,StarCraft: Brood War,,6,2,4,Strategy
2002-04-01,Age of Empires II,,4,2,8,Strategy
2002-04-01,Super Smash Bros. Melee,0.0,3,1,21,Fighting Game
2002-05-01,Counter-Strike,,42,1,16,First-Person Shooter
2002-05-01,Quake III Arena,,17,2,7,First-Person Shooter
2002-05-01,StarCraft: Brood War,,1,1,4,Strategy
2002-05-01,Aliens versus Predator 2,,1,1,20,First-Person Shooter
2002-05-01,Age of Empires II,,4,2,8,Strategy
2002-06-01,StarCraft: Brood War,,19,2,4,Strategy
2002-06-01,Age of Empires II,,4,2,8,Strategy
2002-06-01,Super Smash Bros. Melee,40.0,3,1,21,Fighting Game
2002-07-01,Counter-Strike,,169,3,16,First-Person Shooter
2002-07-01,Age of Empires II,,9,4,8,Strategy
2002-07-01,Quake III Arena,,12,1,7,First-Person Shooter
2002-07-01,StarCraft: Brood War,,3,1,4,Strategy
2002-08-01,Return to Castle Wolfenstein,,30,1,22,First-Person Shooter
2002-08-01,Quake III Arena,,5,1,7,First-Person Shooter
2002-08-01,Age of Empires II,,14,8,8,Strategy
2002-08-01,Capcom vs. SNK 2,0.0,3,1,23,Fighting Game
2002-08-01,Marvel vs. Capcom 2,0.0,3,1,9,Fighting Game
2002-08-01,Super Street Fighter II Turbo,0.0,3,1,13,Fighting Game
2002-09-01,WarCraft III,,16,1,24,Strategy
2002-09-01,Counter-Strike,,21,2,16,First-Person Shooter
2002-09-01,Age of Empires II,,11,5,8,Strategy
2002-09-01,Quake III Arena,,3,1,7,First-Person Shooter
2002-09-01,Age of Empires,100.0,3,1,5,Strategy
2002-10-01,StarCraft: Brood War,,18,3,4,Strategy
2002-10-01,Counter-Strike,,40,1,16,First-Person Shooter
2002-10-01,Age of Empires II,,1,1,8,Strategy
2002-10-01,WarCraft III,642.0,3,1,24,Strategy
2002-11-01,Counter-Strike,,55,2,16,First-Person Shooter
2002-11-01,Age of Empires II,,9,2,8,Strategy
2002-11-01,FIFA 2002 World Cup,,8,1,25,Sports
2002-11-01,Quake III Arena,,8,1,7,First-Person Shooter
2002-11-01,StarCraft: Brood War,,8,1,4,Strategy
2002-11-01,Unreal Tournament,,8,1,19,First-Person Shooter
2002-11-01,Halo: Combat Evolved,,21,2,26,First-Person Shooter
2002-11-01,Unreal Tournament 2003,,8,4,27,First-Person Shooter
2002-11-01,WarCraft III,106.0,1,1,24,Strategy
2002-12-01,Counter-Strike,,145,4,16,First-Person Shooter
2002-12-01,WarCraft III,,31,5,24,Strategy
2002-12-01,Unreal Tournament 2003,,16,1,27,First-Person Shooter
2002-12-01,Return to Castle Wolfenstein,,0,1,22,First-Person Shooter
2002-12-01,NASCAR Thunder 2002,,0,1,28,Racing
2002-12-01,Star Wars Jedi Knight II: Jedi Outcast,,0,1,29,First-Person Shooter
2002-12-01,Age of Empires II,,13,2,8,Strategy
2002-12-01,Quake III Arena,553.0,3,1,7,First-Person Shooter
2002-12-01,StarCraft: Brood War,553.0,3,1,4,Strategy
2003-01-01,Age of Empires II,,16,3,8,Strategy
2003-01-01,WarCraft III,,16,1,24,Strategy
2003-01-01,StarCraft: Brood War,,6,1,4,Strategy
2003-01-01,Super Smash Bros. Melee,,7,2,21,Fighting Game
2003-01-01,Counter-Strike,,30,2,16,First-Person Shooter
2003-02-01,StarCraft: Brood War,,16,1,4,Strategy
2003-02-01,Counter-Strike,,32,3,16,First-Person Shooter
2003-02-01,Age of Empires II,380.0,4,2,8,Strategy
2003-03-01,Counter-Strike,,65,4,16,First-Person Shooter
2003-03-01,Halo: Combat Evolved,,0,1,26,First-Person Shooter
2003-03-01,Super Smash Bros. Melee,,3,1,21,Fighting Game
2003-03-01,Tekken 4,,0,1,30,Fighting Game
2003-03-01,Unreal Tournament 2003,,0,1,27,First-Person Shooter
2003-03-01,WarCraft III,,6,1,24,Strategy
2003-04-01,Counter-Strike,,40,3,16,First-Person Shooter
2003-04-01,WarCraft III,,5,2,24,Strategy
2003-04-01,Unreal Tournament 2003,,0,1,27,First-Person Shooter
2003-04-01,Halo: Combat Evolved,,32,5,26,First-Person Shooter
2003-04-01,Quake III Arena,,3,2,7,First-Person Shooter
2003-04-01,StarCraft: Brood War,,2,2,4,Strategy
2003-04-01,Age of Mythology,,6,2,31,Strategy
2003-04-01,Age of Empires II,,5,3,8,Strategy
2003-05-01,Counter-Strike,,52,6,16,First-Person Shooter
2003-05-01,Age of Empires II,760.0,6,4,8,Strategy
2003-05-01,Age of Empires,625.0,4,1,5,Strategy
2003-06-01,Counter-Strike,,63,5,16,First-Person Shooter
2003-06-01,StarCraft: Brood War,,40,2,4,Strategy
2003-06-01,WarCraft III,,4,1,24,Strategy
2003-06-01,Age of Mythology,,3,2,31,Strategy
2003-06-01,NASCAR Thunder 2003,,0,1,32,Racing
2003-06-01,Age of Empires II,380.0,4,2,8,Strategy
2003-07-01,Counter-Strike,,127,6,16,First-Person Shooter
2003-07-01,StarCraft: Brood War,,28,3,4,Strategy
2003-07-01,Unreal Tournament 2003,,9,3,27,First-Person Shooter
2003-07-01,WarCraft III,,21,6,24,Strategy
2003-07-01,Quake III Arena,,4,1,7,First-Person Shooter
2003-07-01,Age of Mythology,,5,2,31,Strategy
2003-07-01,Age of Empires II,200.0,1,1,8,Strategy
2003-08-01,Counter-Strike,,126,5,16,First-Person Shooter
2003-08-01,Quake III Arena,,23,3,7,First-Person Shooter
2003-08-01,Return to Castle Wolfenstein,,24,1,22,First-Person Shooter
2003-08-01,Age of Mythology,,14,3,31,Strategy
2003-08-01,WarCraft III,,9,4,24,Strategy
2003-08-01,Unreal Tournament 2003,,3,1,27,First-Person Shooter
2003-08-01,Age of Empires II,,8,1,8,Strategy
2003-08-01,FIFA 03,,3,1,33,Sports
2003-08-01,Super Smash Bros. Melee,,1,1,21,Fighting Game
2003-08-01,Capcom vs. SNK 2,0.0,3,1,23,Fighting Game
2003-08-01,Guilty Gear XX,0.0,3,1,34,Fighting Game
2003-08-01,Marvel vs. Capcom 2,0.0,3,1,9,Fighting Game
2003-08-01,Soul Calibur II,0.0,3,1,35,Fighting Game
2003-08-01,Street Fighter III: 3rd Strike,0.0,3,1,12,Fighting Game
2003-08-01,Super Street Fighter II Turbo,0.0,3,1,13,Fighting Game
2003-08-01,Tekken 4,0.0,3,1,30,Fighting Game
2003-08-01,Tekken Tag Tournament,0.0,3,1,36,Fighting Game
2003-08-01,Virtua Fighter 4: Evolution,0.0,3,1,37,Fighting Game
2003-09-01,Counter-Strike,,51,5,16,First-Person Shooter
2003-09-01,WarCraft III,,23,8,24,Strategy
2003-09-01,StarCraft: Brood War,,4,1,4,Strategy
2003-09-01,Day of Defeat,880.0,6,1,38,First-Person Shooter
2003-10-01,Counter-Strike,,90,7,16,First-Person Shooter
2003-10-01,StarCraft: Brood War,,58,3,4,Strategy
2003-10-01,WarCraft III,,17,7,24,Strategy
2003-10-01,Age of Mythology,,13,3,31,Strategy
2003-10-01,FIFA 03,,7,2,33,Sports
2003-10-01,Unreal Tournament 2003,,8,2,27,First-Person Shooter
2003-10-01,Halo: Combat Evolved,,14,3,26,First-Person Shooter
2003-10-01,Gran Turismo 3: A-Spec,,3,1,39,Racing
2003-10-01,Madden NFL 2004,,3,1,40,Sports
2003-10-01,Soul Calibur II,,3,1,35,Fighting Game
2003-10-01,Age of Empires II,,4,1,8,Strategy
2003-11-01,StarCraft: Brood War,,27,3,4,Strategy
2003-11-01,WarCraft III,,47,10,24,Strategy
2003-11-01,Counter-Strike,,124,12,16,First-Person Shooter
2003-11-01,Halo: Combat Evolved,,32,2,26,First-Person Shooter
2003-11-01,Age of Empires II,,7,2,8,Strategy
2003-11-01,Age of Mythology,,4,1,31,Strategy
2003-12-01,Counter-Strike,,121,5,16,First-Person Shooter
2003-12-01,Halo: Combat Evolved,,16,1,26,First-Person Shooter
2003-12-01,WarCraft III,,4,1,24,Strategy
2003-12-01,Live for Speed,,5,1,41,Racing
2003-12-01,Age of Empires II,,15,2,8,Strategy
2003-12-01,FIFA 04,0.0,0,1,42,Sports
2004-01-01,StarCraft: Brood War,,19,3,4,Strategy
2004-01-01,WarCraft III,,31,6,24,Strategy
2004-01-01,Counter-Strike,,93,6,16,First-Person Shooter
2004-01-01,Age of Empires II,,14,4,8,Strategy
2004-01-01,Age of Mythology,,12,3,31,Strategy
2004-01-01,Super Smash Bros. Melee,,6,3,21,Fighting Game
2004-02-01,StarCraft: Brood War,,46,1,4,Strategy
2004-02-01,Counter-Strike,,50,4,16,First-Person Shooter
2004-02-01,Halo: Combat Evolved,,20,3,26,First-Person Shooter
2004-02-01,WarCraft III,,4,1,24,Strategy
2004-03-01,WarCraft III,,28,2,24,Strategy
2004-03-01,StarCraft: Brood War,,16,1,4,Strategy
2004-03-01,Counter-Strike,,125,7,16,First-Person Shooter
2004-03-01,Quake III Arena,,8,1,7,First-Person Shooter
2004-03-01,Halo: Combat Evolved,825.0,8,2,26,First-Person Shooter
2004-04-01,Counter-Strike,,84,7,16,First-Person Shooter
2004-04-01,StarCraft: Brood War,,7,2,4,Strategy
2004-04-01,WarCraft III,,24,5,24,Strategy
2004-04-01,Halo: Combat Evolved,,41,5,26,First-Person Shooter
2004-04-01,Age of Mythology,150.0,2,1,31,Strategy
2004-05-01,Counter-Strike,,109,11,16,First-Person Shooter
2004-05-01,WarCraft III,,20,11,24,Strategy
2004-05-01,Age of Empires II,300.0,2,1,8,Strategy
2004-06-01,Counter-Strike,,158,10,16,First-Person Shooter
2004-06-01,WarCraft III,,25,9,24,Strategy
2004-06-01,Age of Empires II,,40,1,8,Strategy
2004-06-01,FIFA 04,0.0,0,1,42,Sports
2004-06-01,Live for Speed,0.0,1,1,41,Racing
2004-07-01,Counter-Strike,,198,10,16,First-Person Shooter
2004-07-01,StarCraft: Brood War,,30,3,4,Strategy
2004-07-01,WarCraft III,,72,11,24,Strategy
2004-07-01,Counter-Strike: Condition Zero,,66,1,43,First-Person Shooter
2004-07-01,Pro Evolution Soccer 3,,8,1,44,Sports
2004-07-01,Quake III Arena,,17,1,7,First-Person Shooter
2004-07-01,Unreal Tournament 2004,,12,2,45,First-Person Shooter
2004-07-01,Painkiller,,4,1,46,First-Person Shooter
2004-07-01,Age of Empires II,700.0,2,1,8,Strategy
2004-07-01,Super Smash Bros. Melee,500.0,2,2,21,Fighting Game
2004-07-01,Age of Mythology,200.0,4,1,31,Strategy
2004-08-01,Counter-Strike,,177,7,16,First-Person Shooter
2004-08-01,Quake III Arena,,15,2,7,First-Person Shooter
2004-08-01,StarCraft: Brood War,,24,4,4,Strategy
2004-08-01,Halo: Combat Evolved,,14,4,26,First-Person Shooter
2004-08-01,Doom 3,,5,1,47,First-Person Shooter
2004-08-01,Call of Duty,,51,1,48,First-Person Shooter
2004-08-01,Unreal Tournament 2004,,25,1,45,First-Person Shooter
2004-08-01,WarCraft III,,19,12,24,Strategy
2004-08-01,Painkiller,,8,1,46,First-Person Shooter
2004-08-01,Super Smash Bros. Melee,,12,2,21,Fighting Game
2004-08-01,Age of Empires II,,5,2,8,Strategy
2004-08-01,Capcom vs. SNK 2,0.0,3,1,23,Fighting Game
2004-08-01,Guilty Gear XX,0.0,3,1,34,Fighting Game
2004-08-01,Marvel vs. Capcom 2,0.0,3,1,9,Fighting Game
2004-08-01,Soul Calibur II,0.0,3,1,35,Fighting Game
2004-08-01,Street Fighter III: 3rd Strike,0.0,3,1,12,Fighting Game
2004-08-01,Super Street Fighter II Turbo,0.0,3,1,13,Fighting Game
2004-08-01,Tekken 4,0.0,3,1,30,Fighting Game
2004-08-01,Tekken Tag Tournament,0.0,3,1,36,Fighting Game
2004-08-01,Virtua Fighter 4: Evolution,0.0,3,1,37,Fighting Game
2004-09-01,Counter-Strike,,81,7,16,First-Person Shooter
2004-09-01,WarCraft III,,38,10,24,Strategy
2004-09-01,Halo: Combat Evolved,,9,5,26,First-Person Shooter
2004-09-01,Unreal Tournament 2004,,8,1,45,First-Person Shooter
2004-09-01,Super Smash Bros. Melee,,3,1,21,Fighting Game
2004-09-01,Age of Empires II,487.0,4,2,8,Strategy
2004-09-01,StarCraft: Brood War,200.0,1,1,4,Strategy
2004-10-01,Doom 3,,1,1,47,First-Person Shooter
2004-10-01,StarCraft: Brood War,,14,3,4,Strategy
2004-10-01,Counter-Strike: Condition Zero,,15,1,43,First-Person Shooter
2004-10-01,Halo: Combat Evolved,,21,3,26,First-Person Shooter
2004-10-01,WarCraft III,,11,9,24,Strategy
2004-10-01,Counter-Strike,,93,7,16,First-Person Shooter
2004-10-01,FIFA 04,,3,1,42,Sports
2004-10-01,Unreal Tournament 2004,,3,1,45,First-Person Shooter
2004-10-01,Need for Speed: Underground,,3,1,49,Racing
2004-10-01,Project Gotham Racing 2,,3,1,50,Racing
2004-10-01,Quake III Arena,,10,9,7,First-Person Shooter
2004-10-01,Super Smash Bros. Melee,,7,2,21,Fighting Game
2004-10-01,Soul Calibur II,,2,1,35,Fighting Game
2004-10-01,Gran Turismo 3: A-Spec,,3,1,39,Racing
2004-11-01,Counter-Strike,,109,8,16,First-Person Shooter
2004-11-01,WarCraft III,,26,12,24,Strategy
2004-11-01,StarCraft: Brood War,,2,1,4,Strategy
2004-11-01,Age of Empires II,658.0,2,1,8,Strategy
2004-12-01,Counter-Strike,,159,8,16,First-Person Shooter
2004-12-01,Counter-Strike: Condition Zero,,60,1,43,First-Person Shooter
2004-12-01,Doom 3,,8,1,47,First-Person Shooter
2004-12-01,Painkiller,,16,1,46,First-Person Shooter
2004-12-01,WarCraft III,,19,4,24,Strategy
2004-12-01,Age of Empires II,,76,3,8,Strategy
2004-12-01,Day of Defeat,,18,1,38,First-Person Shooter
2004-12-01,Age of Mythology,,8,1,31,Strategy
2004-12-01,FIFA 05,0.0,0,1,51,Sports
2004-12-01,Live for Speed,0.0,1,1,41,Racing
2005-01-01,StarCraft: Brood War,,20,3,4,Strategy
2005-01-01,Counter-Strike,,40,3,16,First-Person Shooter
2005-01-01,WarCraft III,,19,8,24,Strategy
2005-01-01,Halo 2,,8,2,52,First-Person Shooter
2005-01-01,Super Smash Bros. Melee,,20,4,21,Fighting Game
2005-01-01,Age of Empires II,50.0,1,1,8,Strategy
2005-02-01,StarCraft: Brood War,,17,3,4,Strategy
2005-02-01,Counter-Strike,,105,8,16,First-Person Shooter
2005-02-01,WarCraft III,,10,6,24,Strategy
2005-02-01,Halo 2,,12,2,52,First-Person Shooter
2005-02-01,Counter-Strike: Source,,14,2,53,First-Person Shooter
2005-02-01,Super Smash Bros. Melee,,5,2,21,Fighting Game
2005-02-01,Quake III Arena,487.0,3,1,7,First-Person Shooter
2005-02-01,Age of Empires II,200.0,1,1,8,Strategy
2005-03-01,Counter-Strike,,143,9,16,First-Person Shooter
2005-03-01,WarCraft III,,21,6,24,Strategy
2005-03-01,Painkiller,,16,1,46,First-Person Shooter
2005-03-01,StarCraft: Brood War,,19,2,4,Strategy
2005-03-01,Halo 2,,15,5,52,First-Person Shooter
2005-03-01,Unreal Tournament 2004,,3,1,45,First-Person Shooter
2005-03-01,Age of Empires II,,8,1,8,Strategy
2005-03-01,Super Smash Bros. Melee,,6,2,21,Fighting Game
2005-03-01,FIFA 05,0.0,3,1,51,Sports
2005-03-01,Need for Speed: Underground 2,0.0,3,1,54,Racing
2005-03-01,Project Gotham Racing 2,0.0,3,1,50,Racing
2005-04-01,Counter-Strike,,72,4,16,First-Person Shooter
2005-04-01,StarCraft: Brood War,,3,1,4,Strategy
2005-04-01,WarCraft III,,7,5,24,Strategy
2005-04-01,Halo 2,,12,2,52,First-Person Shooter
2005-04-01,Age of Empires II,,4,1,8,Strategy
2005-04-01,Super Smash Bros. Melee,,5,2,21,Fighting Game
2005-05-01,Counter-Strike,,220,11,16,First-Person Shooter
2005-05-01,Painkiller,,21,2,46,First-Person Shooter
2005-05-01,WarCraft III,,22,8,24,Strategy
2005-05-01,Quake III Arena,,3,2,7,First-Person Shooter
2005-05-01,StarCraft: Brood War,,7,2,4,Strategy
2005-05-01,Age of Empires II,,5,1,8,Strategy
2005-05-01,Counter-Strike: Source,,10,1,53,First-Person Shooter
2005-06-01,Counter-Strike,,124,7,16,First-Person Shooter
2005-06-01,WarCraft III,,28,9,24,Strategy
2005-06-01,Painkiller,,16,1,46,First-Person Shooter
2005-06-01,Age of Empires II,,35,2,8,Strategy
2005-06-01,FIFA 05,,0,1,51,Sports
2005-06-01,Halo 2,,16,3,52,First-Person Shooter
2005-06-01,StarCraft: Brood War,,4,2,4,Strategy
2005-06-01,Super Smash Bros. Melee,,14,3,21,Fighting Game
2005-06-01,Live for Speed,,5,1,41,Racing
2005-06-01,Age of Mythology,500.0,2,1,31,Strategy
2005-07-01,Counter-Strike,,229,11,16,First-Person Shooter
2005-07-01,StarCraft: Brood War,,29,4,4,Strategy
2005-07-01,WarCraft III,,30,8,24,Strategy
2005-07-01,Counter-Strike: Source,,49,2,53,First-Person Shooter
2005-07-01,Painkiller,,16,1,46,First-Person Shooter
2005-07-01,Pro Evolution Soccer 4,,8,1,55,Sports
2005-07-01,Day of Defeat,,23,1,38,First-Person Shooter
2005-07-01,Halo 2,,19,5,52,First-Person Shooter
2005-07-01,Gran Turismo 4,,4,1,56,Racing
2005-07-01,Quake III Arena,,4,1,7,First-Person Shooter
2005-07-01,Unreal Tournament 2004,,4,1,45,First-Person Shooter
2005-07-01,Halo: Combat Evolved,,11,3,26,First-Person Shooter
2005-07-01,Super Smash Bros. Melee,,11,3,21,Fighting Game
2005-07-01,Age of Empires II,717.0,2,1,8,Strategy
2005-08-01,Counter-Strike,,153,11,16,First-Person Shooter
2005-08-01,StarCraft: Brood War,,13,6,4,Strategy
2005-08-01,WarCraft III,,32,10,24,Strategy
2005-08-01,Doom 3,,3,1,47,First-Person Shooter
2005-08-01,Wolfenstein: Enemy Territory,,19,1,57,First-Person Shooter
2005-08-01,Halo 2,,32,9,52,First-Person Shooter
2005-08-01,Quake III Arena,,7,3,7,First-Person Shooter
2005-08-01,Quake II,,3,1,2,First-Person Shooter
2005-08-01,Age of Empires II,,11,3,8,Strategy
2005-08-01,Age of Mythology,,4,1,31,Strategy
2005-08-01,Quake 4,,2,1,58,First-Person Shooter
2005-08-01,Battlefield 2,,0,1,59,First-Person Shooter
2005-08-01,Super Smash Bros. Melee,,7,4,21,Fighting Game
2005-08-01,Unreal Tournament 2004,945.0,4,3,45,First-Person Shooter
2005-08-01,Call of Duty,630.0,0,1,48,First-Person Shooter
2005-08-01,Counter-Strike: Source,630.0,0,1,53,First-Person Shooter
2005-08-01,Need for Speed: Underground 2,629.0,3,1,54,Racing
2005-08-01,Capcom vs. SNK 2,0.0,3,1,23,Fighting Game
2005-08-01,Guilty Gear XX #Reload,0.0,3,1,60,Fighting Game
2005-08-01,Marvel vs. Capcom 2,0.0,3,1,9,Fighting Game
2005-08-01,Street Fighter III: 3rd Strike,0.0,3,1,12,Fighting Game
2005-08-01,Super Street Fighter II Turbo,0.0,3,1,13,Fighting Game
2005-08-01,Tekken 5,0.0,3,2,61,Fighting Game
2005-08-01,Tekken Tag Tournament,0.0,3,1,36,Fighting Game
2005-09-01,Counter-Strike,,138,11,16,First-Person Shooter
2005-09-01,Painkiller,,16,1,46,First-Person Shooter
2005-09-01,WarCraft III,,26,11,24,Strategy
2005-09-01,Halo 2,,18,3,52,First-Person Shooter
2005-09-01,StarCraft: Brood War,,7,2,4,Strategy
2005-09-01,Unreal Tournament 2004,,8,1,45,First-Person Shooter
2005-09-01,Quake III Arena,,8,1,7,First-Person Shooter
2005-09-01,Battlefield 2,,0,1,59,First-Person Shooter
2005-09-01,Counter-Strike: Source,,10,3,53,First-Person Shooter
2005-09-01,Super Smash Bros. Melee,,6,2,21,Fighting Game
2005-09-01,Pro Evolution Soccer 4,551.0,3,1,55,Sports
2005-10-01,Painkiller,,24,3,46,First-Person Shooter
2005-10-01,Counter-Strike,,112,8,16,First-Person Shooter
2005-10-01,WarCraft III,,9,6,24,Strategy
2005-10-01,Halo 2,,32,2,52,First-Person Shooter
2005-10-01,StarCraft: Brood War,,2,1,4,Strategy
2005-10-01,Super Smash Bros. Melee,,7,2,21,Fighting Game
2005-10-01,Age of Empires II,,8,1,8,Strategy
2005-10-01,Counter-Strike: Source,604.0,25,2,53,First-Person Shooter
2005-11-01,Painkiller,,32,1,46,First-Person Shooter
2005-11-01,Counter-Strike: Source,,15,1,53,First-Person Shooter
2005-11-01,StarCraft: Brood War,,18,3,4,Strategy
2005-11-01,Halo 2,,31,3,52,First-Person Shooter
2005-11-01,WarCraft III,,35,7,24,Strategy
2005-11-01,Counter-Strike,,157,5,16,First-Person Shooter
2005-11-01,FIFA 05,,3,1,51,Sports
2005-11-01,Need for Speed: Underground 2,,3,1,54,Racing
2005-11-01,"Warhammer 40,000: Dawn of War",,3,1,62,Strategy
2005-11-01,Dead or Alive Ultimate,,3,1,63,Fighting Game
2005-11-01,Quake 4,,13,3,58,First-Person Shooter
2005-11-01,Super Smash Bros. Melee,,13,4,21,Fighting Game
2005-11-01,Defense of the Ancients,,0,1,64,Multiplayer Online Battle Arena
2005-11-01,Quake III Arena,,6,1,7,First-Person Shooter
2005-11-01,Unreal Tournament 2004,,6,1,45,First-Person Shooter
2005-11-01,FIFA 06,695.0,4,1,65,Sports
2005-11-01,Need for Speed: Most Wanted,695.0,4,1,66,Racing
2005-12-01,Counter-Strike,,198,11,16,First-Person Shooter
2005-12-01,WarCraft III,,20,7,24,Strategy
2005-12-01,Quake 4,,35,3,58,First-Person Shooter
2005-12-01,FIFA 06,,2,1,65,Sports
2005-12-01,Halo 2,,32,2,52,First-Person Shooter
2005-12-01,FIFA 05,,0,2,51,Sports
2005-12-01,Super Smash Bros. Melee,,6,2,21,Fighting Game
2005-12-01,StarCraft: Brood War,,4,1,4,Strategy
2005-12-01,Live for Speed,,3,1,41,Racing
